Município,Domain,Status,Signal_Found,Notes
Póvoa de Lanhoso,cm-povoadelanhoso.pt,VERIFIED,cm- in domain (auto-pass),
Proença-a-Nova,cm-proencanova.pt,VERIFIED,cm- in domain (auto-pass),
Póvoa de Varzim,cm-pvarzim.pt,VERIFIED,cm- in domain (auto-pass),
Ribeira Brava,cm-ribeirabrava.pt,VERIFIED,cm- in domain (auto-pass),
Ribeira Grande,cm-ribeiragrande.pt,VERIFIED,cm- in domain (auto-pass),
Rio Maior,cm-riomaior.pt,VERIFIED,cm- in domain (auto-pass),
Ribeira de Pena,cm-rpena.pt,VERIFIED,cm- in domain (auto-pass),
Salvaterra de Magos,cm-salvaterrademagos.pt,VERIFIED,cm- in domain (auto-pass),
Santa Comba Dão,cm-santacombadao.pt,VERIFIED,cm- in domain (auto-pass),
Santa Cruz,cm-santacruz.pt,VERIFIED,cm- in domain (auto-pass),
São Roque do Pico,cm-saoroquedopico.pt,VERIFIED,cm- in domain (auto-pass),
São Vicente,cm-saovicente.pt,VERIFIED,cm- in domain (auto-pass),
São João da Madeira,cm-sjm.pt,VERIFIED,cm- in domain (auto-pass),
São João da Pesqueira,cm-sjpesqueira.pt,VERIFIED,cm- in domain (auto-pass),
Santa Marta de Penaguião,cm-smpenaguiao.pt,VERIFIED,cm- in domain (auto-pass),
Sobral de Monte Agraço,cm-sobral.pt,VERIFIED,cm- in domain (auto-pass),
São Pedro do Sul,cm-spsul.pt,VERIFIED,cm- in domain (auto-pass),
Torres Novas,cm-torresnovas.pt,VERIFIED,cm- in domain (auto-pass),
Vale de Cambra,cm-valedecambra.pt,VERIFIED,cm- in domain (auto-pass),
Vendas Novas,cm-vendasnovas.pt,VERIFIED,cm- in domain (auto-pass),
Vila Franca de Xira,cm-vfxira.pt,VERIFIED,cm- in domain (auto-pass),
Viana do Castelo,cm-viana-castelo.pt,VERIFIED,cm- in domain (auto-pass),
Viana do Alentejo,cm-vianadoalentejo.pt,VERIFIED,cm- in domain (auto-pass),
Vila de Rei,cm-viladerei.pt,VERIFIED,cm- in domain (auto-pass),
Vila do Bispo,cm-viladobispo.pt,VERIFIED,cm- in domain (auto-pass),
Vila do Conde,cm-viladoconde.pt,VERIFIED,cm- in domain (auto-pass),
Vila Flor,cm-vilaflor.pt,VERIFIED,cm- in domain (auto-pass),
Vila Real,cm-vilareal.pt,VERIFIED,cm- in domain (auto-pass),
Vila Verde,cm-vilaverde.pt,VERIFIED,cm- in domain (auto-pass),
Vila Viçosa,cm-vilavicosa.pt,VERIFIED,cm- in domain (auto-pass),
Vila Nova de Famalicão,cm-vnfamalicao.pt,VERIFIED,cm- in domain (auto-pass),
Vila Nova de Paiva,cm-vnpaiva.pt,VERIFIED,cm- in domain (auto-pass),
Vila Pouca de Aguiar,cm-vpaguiar.pt,VERIFIED,cm- in domain (auto-pass),
Vila Real de Santo António,cm-vrsa.pt,VERIFIED,cm- in domain (auto-pass),
Vila Velha de Ródão,cm-vvrodao.pt,VERIFIED,cm- in domain (auto-pass),
