Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score
Vendas Novas,-4.5,94.6337,477.0,Dead,TIER 2 - Estagnação,1.3
Vila Franca de Xira,0.61,95.7789,1474.0,200,TIER 1 - Resiliência,0.3
Viana do Castelo,-2.87,95.7344,1384.0,200,TIER 2 - Estagnação,0.3
Viana do Alentejo,-6.69,94.3148,209.0,Dead,TIER 3 - Risco de Fuga,2.7
Vila de Rei,-5.83,99.604,3476.0,200,TIER 3 - Risco de Fuga,9.4
Vila do Bispo,9.76,94.9936,412.0,200,TIER 1 - Resiliência,2.6
Vila do Conde,2.41,95.6137,1301.0,200,TIER 1 - Resiliência,0.3
Vila Flor,-8.75,95.6103,710.0,Dead,TIER 3 - Risco de Fuga,39.4
Vila Real,-4.29,95.4495,1593.0,200,TIER 2 - Estagnação,1.2
Vila Verde,-2.31,95.406,877.0,200,TIER 2 - Estagnação,0.9
Vila Viçosa,-10.69,94.5497,628.0,Dead,TIER 3 - Risco de Fuga,15.1
Vila Nova de Famalicão,0.16,95.3392,628.0,200,TIER 1 - Resiliência,0.3
Vila Nova de Paiva,-9.75,95.2735,628.0,200,TIER 3 - Risco de Fuga,17.4
Vila Pouca de Aguiar,-9.73,95.2912,628.0,200,TIER 3 - Risco de Fuga,26.1
Vila Real de Santo António,-1.03,95.2572,628.0,Dead,TIER 1 - Resiliência,1.6
Vila Velha de Ródão,-5.17,97.5966,628.0,Dead,TIER 3 - Risco de Fuga,45.6
Ferreira do Alentejo,-5.67,93.3948,628.0,403,TIER 3 - Risco de Fuga,34.2
Freixo de Espada à Cinta,-14.37,94.6874,628.0,200,TIER 4 - Profecia CASSANDRA,77.0
Marco de Canaveses,-6.95,95.9864,628.0,200,TIER 2 - Estagnação,0.9
Paredes de Coura,-4.76,92.9519,43.0,404,TIER 2 - Estagnação,30.2
Porto de Mós,-3.88,95.5996,1114.0,200,TIER 2 - Estagnação,1.0
São Brás de Alportel,5.69,94.9936,360.0,200,TIER 1 - Resiliência,2.0
Torres Vedras,5.22,95.806,2209.0,200,TIER 1 - Resiliência,0.3
Castelo de Paiva,-7.11,95.7311,763.0,200,TIER 3 - Risco de Fuga,5.7
Reguengos de Monsaraz,-8.39,94.6537,494.0,Dead,TIER 3 - Risco de Fuga,36.4
Vila Nova de Cerveira,-3.13,95.7048,1344.0,200,TIER 2 - Estagnação,3.9
Castelo de Vide,-7.84,94.6654,525.0,200,TIER 4 - Profecia CASSANDRA,54.3
Miranda do Douro,-13.23,95.394,997.0,200,TIER 4 - Profecia CASSANDRA,94.9
Marinha Grande,1.75,95.7034,1163.0,200,TIER 1 - Resiliência,0.3
Montemor-o-Velho,-5.61,95.382,812.0,200,TIER 3 - Risco de Fuga,1.0
Oliveira do Bairro,1.94,95.2706,849.0,200,TIER 1 - Resiliência,0.4
Paços de Ferreira,-1.18,95.3347,403.0,200,TIER 1 - Resiliência,0.6
Santana,-14.38,94.2097,226.0,200,TIER 4 - Profecia CASSANDRA,77.7
Sever do Vouga,-10.15,95.1936,680.0,200,TIER 3 - Risco de Fuga,13.5
Santo Tirso,-5.19,95.4413,1235.0,200,TIER 2 - Estagnação,1.2
Terras de Bouro,-11.21,95.3217,715.0,200,TIER 4 - Profecia CASSANDRA,61.1
Vila Nova de Poiares,-5.57,95.4075,789.0,200,TIER 3 - Risco de Fuga,2.3
Vieira do Minho,-7.63,95.2567,452.0,200,TIER 3 - Risco de Fuga,18.2
Lajes das Flores,-6.23,97.0502,579.0,Dead,TIER 3 - Risco de Fuga,1.3
Vila da Praia da Vitória,-6.83,95.3361,606.0,200,TIER 3 - Risco de Fuga,0.7
Santa Cruz das Flores,-10.35,96.9126,603.0,200,TIER 3 - Risco de Fuga,6.1
Vila Franca do Campo,-7.42,95.2761,590.0,200,TIER 3 - Risco de Fuga,0.9
Calheta [R.A.M.],-4.27,95.2122,148.0,200,TIER 2 - Estagnação,5.3
