Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score,municipio,site_mortality_rate,unique_domains,capture_acceleration,last_capture_gap_days
Valença,-2.43,95.2341,628.0,200,TIER 2 - Estagnação,1.0,valenca,0.073,2.0,0.7757296466973886,530.0
Valongo,1.94,95.7849,628.0,200,TIER 1 - Resiliência,0.7,valongo,0.5326,2.0,0.0862759373862395,542.0
Valpaços,-12.66,96.33,24.0,Dead,TIER 4 - Profecia CASSANDRA,74.8,valpacos,0.1252279635258358,2.0,0.1923076923076923,1565.0
Vidigueira,-11.45,95.4175,767.0,200,TIER 4 - Profecia CASSANDRA,79.8,vidigueira,0.2336,2.0,0.1249076127124907,582.0
Vimioso,-10.67,95.3679,737.0,200,TIER 4 - Profecia CASSANDRA,82.3,vimioso,0.665,2.0,0.1560975609756097,780.0
Vinhais,-14.01,95.5032,820.0,200,TIER 4 - Profecia CASSANDRA,92.3,vinhais,0.4338,2.0,0.0587618048268625,924.0
Viseu,0.46,95.9351,1268.0,200,TIER 1 - Resiliência,0.7,viseu,0.0644,2.0,0.0209617755856966,1945.0
Vizela,1.21,95.3102,468.0,200,TIER 1 - Resiliência,0.4,vizela,0.0184,2.0,0.1041666666666666,1335.0
Vouzela,-7.74,94.8454,420.0,200,TIER 4 - Profecia CASSANDRA,57.1,vouzela,0.11,2.0,0.8977480219111381,490.0
Albergaria-a-Velha,-0.91,95.3401,767.0,200,TIER 3 - Risco de Fuga,0.9,albergaria-a-velha,0.0842,2.0,0.1556603773584905,168.0
Miranda do Corvo,-8.26,94.4963,247.0,200,TIER 3 - Risco de Fuga,1.1,miranda do corvo,0.0194,2.0,0.1438000942951438,779.0
Santa Maria da Feira,-1.44,95.0363,882.0,200,TIER 2 - Estagnação,0.4,santa maria da feira,0.6836,2.0,0.0648126325712939,582.0
Vila Nova de Gaia,0.8,93.5735,157.0,200,TIER 1 - Resiliência,0.2,vila nova de gaia,0.1346,2.0,0.3822975517890772,537.0
Santa Cruz da Graciosa,-6.45,95.6616,589.0,200,TIER 3 - Risco de Fuga,11.2,santa cruz da graciosa,0.109,2.0,3.2246777163904237,582.0
Torre de Moncorvo,-18.84,94.6875,236.0,200,TIER 4 - Profecia CASSANDRA,84.3,torre de moncorvo,0.1398,2.0,0.2253521126760563,722.0
Vila do Porto,-1.91,92.87,144.0,200,TIER 2 - Estagnação,1.6,vila do porto,0.1916,2.0,0.0747330960854092,635.0
Horta,-3.78,95.649,1121.0,200,TIER 2 - Estagnação,2.2,horta,0.0246,2.0,0.2268326417704011,582.0
Mangualde,-7.39,95.3509,461.0,200,TIER 3 - Risco de Fuga,6.8,mangualde,0.216,2.0,0.2230769230769231,625.0
Velas,-8.48,97.8192,411.0,200,TIER 3 - Risco de Fuga,4.7,velas,0.1026,2.0,0.2032520325203252,785.0
Guarda,-5.85,99.4034,1137.0,200,TIER 2 - Estagnação,8.8,guarda,0.3318,2.0,0.4648719632304662,457.0
Aljustrel,-3.75,94.6838,530.0,200,TIER 2 - Estagnação,29.6,aljustrel,0.2592,2.0,0.4920477137176938,767.0
Montijo,9.69,97.1601,1452.0,200,TIER 1 - Resiliência,0.5,montijo,0.21,2.0,0.0332326283987915,1371.0
Lajes do Pico,-6.64,97.4213,698.0,200,TIER 3 - Risco de Fuga,6.9,lajes do pico,0.202,2.0,2.212605042016807,780.0
Trofa,-0.52,99.0616,676.0,200,TIER 3 - Risco de Fuga,1.0,trofa,0.008,2.0,0.4488162720906969,779.0
Alter do Chão,-13.77,94.2982,291.0,200,TIER 4 - Profecia CASSANDRA,74.6,alter do chao,0.3964,2.0,0.2057026476578411,581.0
Angra do Heroísmo,-4.38,95.6295,839.0,200,TIER 2 - Estagnação,1.0,angra do heroismo,0.288,2.0,0.0410502958579881,1008.0
